District,StreetBlock,LATITUDE_X,LONGITUDE_X,SNA_NEIGHBORHOOD,ShootID,RMS_No,Race,Sex,Age,Type,YearOccurred,DateOccurred,TimeOccurred,DateTimeOccured,COMMUNITY_COUNCIL_NEIGHBORHOOD
C,100 Block of E FREEDOM WY,39.098,-84.5102,Downtown,7020,2025-INC-007124,BLACK,MALE,22,NONFATAL,2025,20250419,221900,4/19/2025 10:19:00 PM,Downtown
3,3900 Block of PRESIDENT DR,39.1556,-84.5591,Roll Hill,7016,2025-INC-007061,BLACK,MALE,32,NONFATAL,2025,20250418,211900,4/18/2025 9:19:00 PM,Villages at Roll Hill
3,2900 Block of URWILER AV,39.1498,-84.5972,Westwood,7014,2025-INC-006848,BLACK,MALE,20,NONFATAL,2025,20250416,010000,4/16/2025 1:00:00 AM,Westwood
4,1600 Block of SUMMIT RD,39.2028,-84.4588,Roselawn,7015,2025-INC-006856,BLACK,MALE,60,FATAL,2025,20250416,045100,4/16/2025 4:51:00 AM,Roselawn
4,5400 Block of NEWFIELD AV,39.1812,-84.4635,Bond Hill,7013,2025-INC-006622,BLACK,MALE,31,NONFATAL,2025,20250413,003700,4/13/2025 12:37:00 AM,Bond Hill
4,2900 Block of SHORT VINE ST,39.1324,-84.5098,Corryville,7012,2025-INC-006618,WHITE,MALE,25,FATAL,2025,20250412,213300,4/12/2025 9:33:00 PM,Corryville
4,4600 Block of KINGS RUN DR,39.1762,-84.5093,Spring Grove Village,7011,2025-INC-006498,BLACK,MALE,35,FATAL,2025,20250411,112500,4/11/2025 11:25:00 AM,Spring Grove Village
3,2800 Block of MONTANA AV,39.1496,-84.5922,Westwood,7010,2025-INC-006309,BLACK,MALE,16,NONFATAL,2025,20250408,234500,4/8/2025 11:45:00 PM,Westwood
3,1000 Block of CONSIDINE AV,39.1112,-84.5627,East Price Hill,7008,2025-INC-006002,BLACK,MALE,23,NONFATAL,2025,20250404,171500,4/4/2025 5:15:00 PM,East Price Hill
C,100 Block of E 9TH ST,39.1064,-84.5107,Downtown,7006,2025-INC-005666,BLACK,MALE,36,NONFATAL,2025,20250330,211100,3/30/2025 9:11:00 PM,Downtown
3,800 Block of ELBERON AV,39.1059,-84.5667,East Price Hill,7004,2025-INC-005524,WHITE,MALE,59,NONFATAL,2025,20250329,005000,3/29/2025 12:50:00 AM,East Price Hill
4,4400 Block of WINTON RD,39.1688,-84.5209,Spring Grove Village,7005,2025-INC-005591,OTHER,MALE,31,NONFATAL,2025,20250329,220700,3/29/2025 10:07:00 PM,Spring Grove Village
4,400 Block of KINGS RUN DR,39.1771,-84.5101,Spring Grove Village,7003,2025-INC-005518,BLACK,MALE,42,NONFATAL,2025,20250328,230000,3/28/2025 11:00:00 PM,Spring Grove Village
3,2600 Block of W NORTH BEND RD,39.1905,-84.572,Mt. Airy,7000,2025-INC-005346,BLACK,MALE,26,NONFATAL,2025,20250326,170500,3/26/2025 5:05:00 PM,Mount Airy
4,5200 Block of VIVIAN PL,39.1853,-84.5117,Winton Hills,7001,2025-INC-005350,BLACK,MALE,26,NONFATAL,2025,20250326,173500,3/26/2025 5:35:00 PM,Winton Hills
4,5200 Block of VIVIAN PL,39.1862,-84.5111,Winton Hills,7002,2025-INC-005350,BLACK,MALE,29,NONFATAL,2025,20250326,173500,3/26/2025 5:35:00 PM,Winton Hills
2,2600 Block of PARK AV,39.1267,-84.485,Walnut Hills,6998,2025-INC-004968,BLACK,MALE,34,FATAL,2025,20250321,030400,3/21/2025 3:04:00 AM,Walnut Hills
4,600 Block of STRAND LN,39.1868,-84.5122,Winton Hills,6999,2025-INC-004982,BLACK,MALE,23,NONFATAL,2025,20250321,123400,3/21/2025 12:34:00 PM,Winton Hills
C,100 Block of E MEHRING WY,39.096,-84.5091,Downtown,6997,2025-INC-004597,BLACK,FEMALE,21,NONFATAL,2025,20250314,223200,3/14/2025 10:32:00 PM,Downtown
4,3700 Block of READING RD,39.1505,-84.4873,Avondale,6996,2025-INC-004417,BLACK,MALE,27,NONFATAL,2025,20250312,172000,3/12/2025 5:20:00 PM,Avondale - North Avondale
1,800 Block of CLARK ST,39.1081,-84.5281,West End,6993,2025-INC-004164,BLACK,MALE,27,NONFATAL,2025,20250309,002900,3/9/2025 12:29:00 AM,West End
1,800 Block of CLARK ST,39.1073,-84.528,West End,6994,2025-INC-004164,BLACK,FEMALE,29,NONFATAL,2025,20250309,002900,3/9/2025 12:29:00 AM,West End
3,2100 Block of HARRISON AV,39.1337,-84.5704,North Fairmount,6995,2025-INC-004172,BLACK,FEMALE,25,NONFATAL,2025,20250309,055000,3/9/2025 5:50:00 AM,South Fairmount - Westwood
C,600 Block of WALNUT ST,39.1035,-84.5121,Downtown,7087,2025-INC-012272,BLACK,FEMALE,26,NONFATAL,2025,20250623,023000,6/23/2025 2:30:00 AM,Downtown
C,800 Block of WALNUT ST,39.1054,-84.5123,Downtown,7086,2025-INC-012216,BLACK,MALE,38,NONFATAL,2025,20250622,052800,6/22/2025 5:28:00 AM,Downtown
2,800 Block of OAK ST,39.1304,-84.4905,Walnut Hills,7083,2025-INC-012174,BLACK,MALE,19,NONFATAL,2025,20250621,150600,6/21/2025 3:06:00 PM,Walnut Hills
C,200 Block of W 3RD ST,39.0986,-84.5152,Downtown,7085,2025-INC-012208,BLACK,MALE,27,NONFATAL,2025,20250621,013000,6/21/2025 1:30:00 AM,Downtown
1,1300 Block of VINE ST,39.1104,-84.5162,Over-the-Rhine,7082,2025-INC-012029,BLACK,MALE,16,FATAL,2025,20250619,213300,6/19/2025 9:33:00 PM,OTR
UNK,UNKNO Block of LOCATION,,,,7080,2025-INC-011808,BLACK,MALE,20,NONFATAL,2025,20250617,010000,6/17/2025 1:00:00 AM,
4,700 Block of CHALFONTE PL,39.1498,-84.4892,Avondale,7081,2025-INC-011846,WHITE,MALE,46,NONFATAL,2025,20250617,210000,6/17/2025 9:00:00 PM,Avondale - North Avondale
4,2000 Block of E SEYMOUR AV,39.1847,-84.4589,Roselawn,7077,2025-INC-011629,BLACK,MALE,19,NONFATAL,2025,20250615,013700,6/15/2025 1:37:00 AM,Roselawn
4,3300 Block of ALAMEDA PL,39.1389,-84.497,Avondale,7076,2025-INC-011594,BLACK,MALE,45,NONFATAL,2025,20250614,155000,6/14/2025 3:50:00 PM,Avondale
2,800 Block of LINCOLN AV,39.1323,-84.4888,Walnut Hills,7078,2025-INC-011638,BLACK,MALE,35,FATAL,2025,20250614,235000,6/14/2025 11:50:00 PM,Walnut Hills
2,800 Block of LINCOLN AV,39.1315,-84.4898,Walnut Hills,7079,2025-INC-011638,BLACK,FEMALE,38,NONFATAL,2025,20250614,235000,6/14/2025 11:50:00 PM,Walnut Hills
3,1700 Block of ELMORE ST,39.1555,-84.5473,South Cumminsville,7075,2025-INC-011543,BLACK,MALE,55,FATAL,2025,20250613,232000,6/13/2025 11:20:00 PM,South Cumminsville
2,4300 Block of EASTERN AV,39.1098,-84.4258,Linwood,7071,2025-INC-011396,WHITE,FEMALE,38,NONFATAL,2025,20250612,035500,6/12/2025 3:55:00 AM,East End
1,1600 Block of WALNUT ST,39.1133,-84.5138,Over-the-Rhine,7072,2025-INC-011397,BLACK,MALE,28,FATAL,2025,20250612,003500,6/12/2025 12:35:00 AM,OTR
1,1600 Block of WALNUT ST,39.1131,-84.5142,Over-the-Rhine,7073,2025-INC-011397,WHITE,MALE,42,NONFATAL,2025,20250612,003500,6/12/2025 12:35:00 AM,OTR
1,200 Block of CALHOUN ST,39.1277,-84.517,CUF,7070,2025-INC-011386,BLACK,MALE,41,FATAL,2025,20250611,202000,6/11/2025 8:20:00 PM,CUF - Heights
3,2000 Block of WESTWOOD NORTHERN BLVD,39.1444,-84.5597,Millvale,7065,2025-INC-011172,BLACK,FEMALE,22,FATAL,2025,20250609,025000,6/9/2025 2:50:00 AM,Millvale
3,2000 Block of WESTWOOD NORTHERN BLVD,39.1433,-84.5592,Millvale,7066,2025-INC-011172,BLACK,MALE,21,NONFATAL,2025,20250609,025000,6/9/2025 2:50:00 AM,Millvale
3,2000 Block of WESTWOOD NORTHERN BLVD,39.1443,-84.5587,Millvale,7067,2025-INC-011172,BLACK,MALE,24,NONFATAL,2025,20250609,025000,6/9/2025 2:50:00 AM,Millvale
4,5600 Block of GARDENHILL LN,39.1916,-84.5123,Winton Hills,7068,2025-INC-011174,BLACK,MALE,18,NONFATAL,2025,20250609,125000,6/9/2025 12:50:00 PM,Winton Hills
4,5600 Block of GARDENHILL LN,39.1921,-84.5133,Winton Hills,7069,2025-INC-011174,BLACK,FEMALE,31,NONFATAL,2025,20250609,125000,6/9/2025 12:50:00 PM,Winton Hills
2,1500 Block of JONATHAN AV,39.1431,-84.4805,Evanston,7063,2025-INC-010992,BLACK,FEMALE,47,FATAL,2025,20250607,064900,6/7/2025 6:49:00 AM,Evanston
1,700 Block of CHESTNUT ST,39.1065,-84.5274,West End,7061,2025-INC-010939,BLACK,FEMALE,30,NONFATAL,2025,20250606,174500,6/6/2025 5:45:00 PM,West End
3,1000 Block of RUTLEDGE AV,39.1117,-84.5882,West Price Hill,7062,2025-INC-010946,BLACK,FEMALE,16,NONFATAL,2025,20250606,183200,6/6/2025 6:32:00 PM,West Price Hill
1,1600 Block of WALNUT ST,39.1134,-84.5134,Over-the-Rhine,7060,2025-INC-010803,BLACK,FEMALE,49,NONFATAL,2025,20250605,004300,6/5/2025 12:43:00 AM,OTR
4,1700 Block of PORTMAN AV,39.1792,-84.4659,Bond Hill,6951,2024-INC-016795,BLACK,MALE,18,NONFATAL,2024,20241226,080000,12/26/2024 8:00:00 AM,Bond Hill
UNK,UNKNO Block of LOCATION (FOUND IN D4),,,,6950,2024-INC-016590,BLACK,MALE,19,NONFATAL,2024,20241222,170000,12/22/2024 5:00:00 PM,
1,500 Block of POPLAR ST,39.1152,-84.5266,West End,6949,2024-INC-016046,BLACK,MALE,50,NONFATAL,2024,20241215,114500,12/15/2024 11:45:00 AM,West End
4,7800 Block of GLEN ORCHARD DR,39.206,-84.4595,Roselawn,6948,2024-INC-016005,BLACK,MALE,16,NONFATAL,2024,20241214,233000,12/14/2024 11:30:00 PM,Roselawn
3,3900 Block of W 8TH ST,39.1059,-84.5801,West Price Hill,6947,2024-INC-015887,BLACK,MALE,26,NONFATAL,2024,20241213,111000,12/13/2024 11:10:00 AM,West Price Hill
2,3500 Block of BEVIS AV,39.1442,-84.4644,Evanston,6945,2024-INC-015738,BLACK,MALE,51,NONFATAL,2024,20241211,094500,12/11/2024 9:45:00 AM,Evanston
3,3300 Block of GEROLD DR,39.1349,-84.6166,Westwood,6946,2024-INC-015764,BLACK,MALE,28,NONFATAL,2024,20241211,143000,12/11/2024 2:30:00 PM,Westwood
UNK,UNKNO Block of LOCATION (FOUND IN D4),,,,6941,2024-INC-015528,BLACK,MALE,28,FATAL,2024,20241208,093000,12/8/2024 9:30:00 AM,
1,1100 Block of LINN ST,39.1078,-84.528,West End,6942,2024-INC-015549,BLACK,MALE,29,NONFATAL,2024,20241208,160800,12/8/2024 4:08:00 PM,West End
3,1700 Block of BALTIMORE AV,39.1346,-84.5537,North Fairmount,6943,2024-INC-015556,BLACK,MALE,21,NONFATAL,2024,20241208,215000,12/8/2024 9:50:00 PM,North Fairmount
3,4900 Block of TRAIL RIDGE RD,39.1742,-84.5692,Mt. Airy,6940,2024-INC-015454,BLACK,FEMALE,20,FATAL,2024,20241207,002800,12/7/2024 12:28:00 AM,Mount Airy
4,4600 Block of KINGS RUN DR,39.175,-84.5096,Spring Grove Village,6939,2024-INC-015446,BLACK,MALE,27,NONFATAL,2024,20241206,224000,12/6/2024 10:40:00 PM,Spring Grove Village
3,2600 Block of PUTZ PL,39.1591,-84.5666,Mt. Airy,6938,2024-INC-015180,BLACK,FEMALE,45,NONFATAL,2024,20241202,211500,12/2/2024 9:15:00 PM,Northside - Westwood
4,600 Block of MAPLE AV,39.1415,-84.4946,Avondale,6937,2024-INC-015050,BLACK,FEMALE,22,NONFATAL,2024,20241201,032000,12/1/2024 3:20:00 AM,Avondale
UNK,UNKNO Block of (D3),,,,6936,2024-INC-014987,BLACK,MALE,18,NONFATAL,2024,20241130,040000,11/30/2024 4:00:00 AM,
3,2200 Block of W NORTH BEND RD,39.2012,-84.5633,College Hill,6934,2024-INC-014927,BLACK,MALE,33,FATAL,2024,20241129,031700,11/29/2024 3:17:00 AM,College Hill
1,700 Block of ELIZABETH ST,39.1056,-84.5273,West End,6935,2024-INC-014970,BLACK,MALE,33,NONFATAL,2024,20241129,201000,11/29/2024 8:10:00 PM,West End
3,5800 Block of SHADYMIST LN,39.2024,-84.579,Mt. Airy,6933,2024-INC-014846,BLACK,MALE,36,NONFATAL,2024,20241127,220900,11/27/2024 10:09:00 PM,Mount Airy
2,2600 Block of PARK AV,39.1275,-84.4855,Walnut Hills,6931,2024-INC-014723,BLACK,MALE,32,NONFATAL,2024,20241126,095200,11/26/2024 9:52:00 AM,Walnut Hills
3,3800 Block of BOUDINOT AV,39.1597,-84.6032,Westwood,6930,2024-INC-014697,WHITE,FEMALE,41,NONFATAL,2024,20241125,234500,11/25/2024 11:45:00 PM,Westwood
4,1200 Block of LAIDLAW AV,39.1781,-84.4768,Bond Hill,6929,2024-INC-014563,BLACK,MALE,23,NONFATAL,2024,20241124,133000,11/24/2024 1:30:00 PM,Bond Hill
1,400 Block of DAYTON ST,39.1186,-84.5256,West End,6928,2024-INC-014460,BLACK,MALE,29,NONFATAL,2024,20241123,00000000000000.000,11/23/2024,West End
3,4200 Block of COLERAIN AV,39.1618,-84.5489,Northside,6927,2024-INC-014339,BLACK,MALE,40,NONFATAL,2024,20241121,014500,11/21/2024 1:45:00 AM,Northside
4,5700 Block of GARDENHILL LN,39.1928,-84.5135,Winton Hills,6925,2024-INC-014035,BLACK,MALE,44,NONFATAL,2024,20241117,014500,11/17/2024 1:45:00 AM,Winton Hills
